ECG,RSP
0.000763,5.9961
-0.00061,5.9906
0.000763,5.9909
0.002289,5.9857
0.005341,5.9818
0.008087,5.9814
0.010376,5.976
0.011444,5.9723
0.010834,5.9717
0.010376,5.9662
0.01297,5.9616
0.013123,5.9619
0.01297,5.9564
0.01297,5.9515
0.010376,5.9521
0.017853,5.9467
0.027618,5.9421
0.057831,5.9412
0.056763,5.9375
0.053864,5.9329
0.055847,5.9329
0.009613,5.9277
-0.014191,5.9253
-0.013885,5.9229
-0.004272,5.918
-0.009003,5.9186
-0.015259,5.9131
-0.014954,5.9134
-0.011597,5.9085
-0.00885,5.9088
-0.006256,5.9033
-0.003967,5.9036
-0.003967,5.8984
-0.003815,5.8939
-0.046844,5.8932
-0.066528,5.889
0.066071,5.8884
0.545197,5.8859
1.094513,5.8841
0.451508,5.8829
-0.21698,5.8789
-0.458374,5.8783
-0.369263,5.8737
-0.194397,5.8734
-0.108185,5.8691
-0.077515,5.8688
-0.058899,5.867
-0.046082,5.8643
-0.033569,5.8646
-0.023499,5.8591
-0.013428,5.8588
-0.002747,5.8545
0.007935,5.8536
0.019073,5.8542
0.027618,5.8496
0.037231,5.8502
0.048523,5.8502
0.063171,5.8447
0.078735,5.8441
0.099487,5.8401
0.122833,5.8392
0.144501,5.8353
0.160828,5.835
0.174103,5.8301
0.176544,5.8252
0.158081,5.8206
0.109558,5.8154
0.029449,5.8105
-0.055237,5.8008
-0.127411,5.7962
-0.174103,5.791
-0.202026,5.7816
-0.210724,5.7773
-0.209351,5.7666
-0.197296,5.762
-0.177612,5.7523
-0.161896,5.7474
-0.146027,5.7373
-0.128784,5.7327
-0.113983,5.7227
-0.097198,5.7178
-0.083466,5.7123
-0.070343,5.7031
-0.059052,5.6985
-0.051727,5.6937
-0.04303,5.6882
-0.040741,5.6836
-0.035553,5.679
-0.030823,5.6784
-0.028534,5.6735
-0.026093,5.6686
-0.023804,5.6683
-0.02121,5.6686
-0.02121,5.6647
-0.021362,5.6644
-0.018616,5.6644
-0.018616,5.6641
-0.018616,5.6693
-0.013885,5.6693
-0.013885,5.6741
-0.011597,5.679
-0.009308,5.6827
-0.011444,5.6888
-0.009003,5.6943
-0.003662,5.7016
-0.003815,5.7086
-0.001526,5.7178
0.000916,5.7275
0.001068,5.7376
0.003662,5.7477
0.00061,5.7605
0.005951,5.7718
0.005646,5.7855
0.003204,5.7962
0.005798,5.8105
0.00351,5.8246
0.007629,5.8371
0.010529,5.8502
0.010681,5.8643
0.011902,5.8789
0.013123,5.8932
0.010834,5.9103
0.012817,5.9247
0.00824,5.9418
0.010681,5.9564
0.007172,5.9717
0.008087,5.9863
0.015564,6.0013
0.028839,6.015
0.052948,6.0297
0.042419,6.0446
0.051422,6.0596
0.036469,6.0764
-0.005951,6.0907
-0.021057,6.1053
-0.007629,6.1206
-0.00885,6.1346
-0.022278,6.1487
